timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1770028225240,346,Health Check,200,OK,Authentication Flow 1-1,text,true,,288,232,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/health,341,0,330
1770028225236,458,Login User (API Ops),200,OK,API Operations 2-1,text,true,,473,356,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/auth/login,458,0,336
1770028225740,8,Get Projects,200,OK,API Operations 2-1,text,true,,513,403,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/projects,8,0,0
1770028225749,69,Get Tasks,200,OK,API Operations 2-1,text,true,,220,400,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/tasks,69,0,0
1770028225819,7,Get Dashboard Analytics,200,OK,API Operations 2-1,text,true,,830,414,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/analytics/dashboard,7,0,0
1770028225593,278,Login User,200,OK,Authentication Flow 1-1,text,true,,473,320,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/auth/login,277,0,0
1770028225872,5,Health Check,200,OK,Authentication Flow 1-1,text,true,,288,232,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/health,5,0,0
1770028225828,272,Login User (API Ops),200,OK,API Operations 2-1,text,true,,473,489,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/auth/login,272,0,0
1770028226102,8,Get Projects,200,OK,API Operations 2-1,text,true,,513,403,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/projects,8,0,0
1770028225878,297,Login User,200,OK,Authentication Flow 1-1,text,true,,473,320,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/auth/login,297,0,0
1770028226111,63,Get Tasks,200,OK,API Operations 2-1,text,true,,220,400,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/tasks,63,0,0
1770028226181,3,Get Dashboard Analytics,200,OK,API Operations 2-1,text,true,,830,414,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/analytics/dashboard,3,0,0
1770028226180,7,Health Check,200,OK,Authentication Flow 1-1,text,true,,288,232,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/health,7,0,0
1770028226186,217,Login User (API Ops),200,OK,API Operations 2-1,text,true,,473,489,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/auth/login,217,0,0
1770028226404,4,Get Projects,200,OK,API Operations 2-1,text,true,,513,403,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/projects,4,0,0
1770028226408,72,Get Tasks,200,OK,API Operations 2-1,text,true,,220,400,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/tasks,72,0,0
1770028226188,293,Login User,200,OK,Authentication Flow 1-1,text,true,,473,320,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/auth/login,293,0,0
1770028226481,3,Get Dashboard Analytics,200,OK,API Operations 2-1,text,true,,830,414,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/analytics/dashboard,3,0,0
1770028226482,3,Health Check,200,OK,Authentication Flow 1-1,text,true,,288,232,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/health,3,0,0
1770028226485,222,Login User (API Ops),200,OK,API Operations 2-1,text,true,,473,489,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/auth/login,222,0,0
1770028226708,4,Get Projects,200,OK,API Operations 2-1,text,true,,513,403,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/projects,4,0,0
1770028226712,69,Get Tasks,200,OK,API Operations 2-1,text,true,,220,400,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/tasks,69,0,0
1770028226486,296,Login User,200,OK,Authentication Flow 1-1,text,true,,473,320,1,2,https://ca-api-100-ai-sdlc.orangepebble-a7745b8a.japaneast.azurecontainerapps.io/api/auth/login,296,0,0
